Name,Age,Salary,Join Date,City
Debra,11,92817,2002-09-06,LA
Tyler,93,59352,2014-10-30,New York City
Elizabeth,96,61143,2010-05-30,LA
Brenda,-9,86470,2009-03-22,Houston
Steven,,87972,2002-03-26,New York City
Christina,7,78508,2006-01-10,Houston
,103,65748,2006-09-20,
Danielle,55,54864,2017-02-11,New York City
Angela,98,88405,2014-12-11,New York City
,17,96620,2005-04-04,
Michelle,43,83337,2004-03-15,New York City
,117,65158,2003-02-28,Houston
Ryan,83,56346,2005-05-09,Houston
Matthew,10,85342,2017-01-10,New York City
Laura,3,60136,2013-09-06,Chicago
Kaitlyn,65,85192,2002-10-04,
Jonathan,60,57827,2017-03-08,Houston
Anthony,108,99035,2017-11-21,Houston
Peggy,,76065,2017-03-14,Chicago
Eric,6,72138,2022-07-09,
Stephanie,91,81949,2016-11-19,NYC
Kimberly,59,76296,2012-10-28,New York City
Courtney,98,65151,2013-01-15,
Daniel,25,60294,2013-11-17,LA
John,61,83551,2006-12-20,Houston
Holly,88,74311,2017-01-27,Houston
Vincent,46,85668,2001-01-07,Chicago
Lorraine,47,56516,2016-06-05,
,-10,88513,2007-07-20,Houston
,78,91735,2008-02-06,Houston
Larry,35,64783,2006-10-10,Los Angeles
Tommy,44,95910,2013-05-07,Los Angeles
Christopher,96,64883,2014-05-29,NYC
Cynthia,106,76880,2006-12-12,
,62,80701,2013-12-07,Los Angeles
Kathryn,53,78732,2016-04-24,Houston
Timothy,77,75884,2014-06-05,New York City
Tamara,62,59628,2009-10-11,Los Angeles
Tracey,97,86913,2024-08-29,New York City
Ryan,98,59872,2006-04-21,Chicago
Robert,13,93431,2020-04-25,Houston
Christine,-8,52375,2012-10-31,LA
Shannon,-8,80877,2009-04-10,LA
John,33,54186,2001-02-10,LA
David,104,50596,2003-11-18,Los Angeles
Audrey,11,77077,2010-07-22,New York City
Erica,-9,68199,2022-12-01,Houston
Mary,45,71735,2012-06-17,NYC
Christopher,94,52939,2006-07-28,Chicago
Heidi,,60908,2010-01-19,
Kimberly,105,52244,2015-05-02,Chicago
Cynthia,16,92777,2014-12-09,LA
Bryan,,75670,2014-04-25,NYC
Patricia,113,63219,2023-07-10,NYC
Deborah,112,61003,2022-09-07,NYC
Nicole,82,52633,2015-07-07,Houston
Steven,27,52622,2017-01-08,Los Angeles
Sandra,,66139,2000-02-07,New York City
Jessica,44,77588,2019-12-27,Los Angeles
Melanie,,87270,2007-04-12,NYC
Sara,72,53573,2021-02-03,Los Angeles
Marc,4,71177,2000-01-03,Chicago
David,4,65950,2004-03-23,NYC
Stephanie,54,50008,2010-07-03,Chicago
Dana,4,88682,2003-11-28,
Robert,44,97194,2010-04-18,New York City
Jennifer,27,85971,2002-05-22,Chicago
Jeremy,,62226,2003-04-26,Chicago
Charlotte,32,75379,2013-02-02,NYC
Donna,104,53465,2020-07-01,Los Angeles
Tiffany,1,91752,2006-07-19,New York City
John,116,81479,2012-02-09,Houston
Tiffany,18,55312,2006-06-25,Houston
Maurice,22,92454,2023-08-22,
,102,94066,2017-10-08,NYC
Tara,15,89414,2002-11-27,Los Angeles
Carolyn,99,64288,2008-07-14,New York City
Alicia,67,90117,2005-09-30,New York City
Linda,110,65919,2018-04-01,
Michael,28,89039,2001-08-11,Houston
Melissa,,60564,2000-02-03,Chicago
William,60,55546,2012-02-12,Los Angeles
Keith,61,96178,2014-06-24,LA
Michael,49,84214,2010-09-08,LA
Christopher,26,63410,2022-03-19,LA
Emily,-4,96989,2022-10-08,New York City
Manuel,-3,75675,2016-01-22,Houston
Justin,0,52037,2018-03-25,Los Angeles
Carl,17,56742,2010-03-22,NYC
Shane,100,58190,2012-02-08,Los Angeles
Kathy,33,89079,2000-06-06,
Don,64,86901,2022-01-29,NYC
Gregory,32,88986,2000-08-26,LA
Christopher,109,51902,2007-06-17,Houston
Austin,28,68416,2020-02-03,Houston
Kristina,27,54881,2007-10-14,Chicago
Katherine,85,90705,2007-09-02,LA
Thomas,54,85362,2019-07-06,LA
Rachel,86,56518,2007-12-21,Los Angeles
Lindsay,50,97247,2015-07-16,Chicago
Joe,-3,85828,2007-01-23,Houston
Patrick,63,50544,2008-06-19,Los Angeles
Nicholas,10,57301,2011-05-15,NYC
Phillip,110,64148,2010-09-16,
Suzanne,60,54629,2004-02-10,NYC
Manuel,70,65272,2004-11-02,NYC
Kevin,67,50502,2015-05-15,Los Angeles
,100,88735,2024-10-04,Chicago
Maureen,15,85219,2016-02-18,Houston
Catherine,71,80903,2006-08-30,
Shane,102,52232,2009-08-26,NYC
Sarah,,67517,2020-01-18,
Isabella,112,52638,2012-11-19,New York City
Julia,0,54850,2022-02-05,
Kathy,80,95198,2019-02-07,LA
Timothy,89,59650,2017-07-24,NYC
Lori,-10,86218,2001-06-23,NYC
Cheryl,99,57521,2022-03-20,
Danielle,,55637,2013-10-04,Los Angeles
Sandra,69,50885,2002-03-02,New York City
Sara,12,54759,2023-12-28,
David,10,80427,2007-09-20,New York City
Andrew,91,74059,2008-10-22,
Peter,87,78576,2017-02-25,LA
Tracy,-2,96124,2015-04-19,
Joseph,-3,50854,2007-10-20,NYC
Raymond,74,80040,2018-03-19,Chicago
Denise,-2,69340,2011-01-19,Chicago
Juan,24,76872,2000-08-15,NYC
Jessica,71,83782,2015-11-07,Los Angeles
Julie,,86821,2015-12-29,Chicago
Laura,37,87819,2008-02-12,NYC
Joel,67,60628,2022-06-11,Chicago
Patricia,53,76135,2011-05-13,Chicago
Michael,,77743,2013-12-03,Chicago
John,93,50199,2019-11-27,Houston
Samuel,72,95151,2003-04-20,NYC
Todd,87,73864,2023-02-23,Chicago
Andrew,,73699,2001-03-18,New York City
Jeffery,90,85813,2023-11-27,NYC
Catherine,116,89606,2014-04-13,Chicago
Shannon,31,61965,2015-04-10,NYC
Hayley,64,55384,2004-09-03,New York City
Shelia,73,91707,2007-11-23,Chicago
Steven,59,70580,2005-12-23,NYC
Anthony,20,68262,2018-02-19,Los Angeles
Steven,109,96089,2013-09-10,New York City
,1,87823,2008-03-02,NYC
Paula,68,54681,2024-05-11,
Christie,36,77670,2011-08-31,NYC
William,102,67272,2016-05-06,Chicago
Vanessa,80,73719,2008-02-18,LA
Nicholas,29,66948,2013-07-18,
Karen,-9,70887,2010-03-10,New York City
Sydney,,76653,2009-10-17,NYC
Amanda,47,99873,2004-06-02,Chicago
Rebekah,0,61896,2004-11-12,LA
Jennifer,61,71727,2019-01-10,
Calvin,71,56773,2014-01-19,NYC
Walter,56,67831,2024-02-07,Los Angeles
Charles,61,51093,2021-12-29,
Vincent,-8,74905,2005-11-10,NYC
Joshua,38,72755,2004-07-10,Los Angeles
Mariah,48,92728,2016-10-09,Los Angeles
Steven,8,82078,2010-05-27,New York City
Justin,,73065,2020-08-21,Houston
Brett,92,83438,2004-11-16,LA
William,-1,72924,2001-04-10,
Michael,14,63425,2004-07-20,New York City
Heidi,43,87878,2002-06-01,LA
Hannah,18,59381,2019-05-26,NYC
Angela,112,51980,2017-12-18,Chicago
Christopher,63,60127,2008-04-08,LA
Nathan,95,62985,2016-07-01,NYC
Samantha,37,75677,2004-03-25,LA
Steven,,67209,2012-01-28,Houston
Gregory,101,70049,2023-10-24,Los Angeles
,-7,87723,2022-09-28,Houston
Robin,41,96610,2005-01-31,LA
Joseph,51,77003,2009-08-08,Houston
Sarah,2,53956,2019-02-22,Chicago
Blake,84,74173,2006-06-07,Houston
Marcus,38,83007,2001-11-04,
Denise,46,83209,2014-09-22,New York City
Dawn,90,83996,2014-03-07,Los Angeles
Emily,62,75576,2004-09-15,New York City
Theresa,53,67085,2009-08-17,NYC
Maxwell,109,79117,2021-10-11,Houston
Michael,,84757,2008-08-18,New York City
Michael,117,86636,2000-02-06,Los Angeles
Michael,70,73381,2005-05-28,Chicago
Janice,91,92982,2010-12-08,Chicago
Ashley,100,79586,2014-10-18,Los Angeles
Caitlin,32,85695,2002-10-29,LA
Danielle,34,57050,2012-01-23,NYC
Wesley,60,80504,2014-09-11,LA
Denise,33,52445,2007-05-10,NYC
,,53360,2019-11-27,Houston
Tonya,119,72632,2024-08-18,Houston
James,108,56451,2005-10-16,NYC
Richard,35,71908,2020-02-06,LA
Larry,-2,70642,2015-09-01,
Brandon,76,84097,2002-07-06,New York City
Justin,50,78548,2023-11-22,LA
Mary,116,97441,2009-11-23,LA
Miranda,59,81332,2013-07-19,Los Angeles
Wendy,31,78838,2023-05-13,New York City
,53,54762,2000-05-12,Los Angeles
Ryan,54,75751,2009-12-12,
Emily,46,85408,2010-07-18,New York City
Becky,,80085,2016-01-09,LA
Julian,,58526,2005-11-20,Chicago
Anthony,104,65830,2016-05-26,LA
Amanda,12,54721,2018-04-01,NYC
Rebecca,49,92068,2011-08-07,NYC
Cynthia,103,63754,2008-12-10,Houston
Chelsea,,78952,2006-10-07,Chicago
Stacey,64,53860,2024-04-10,Chicago
Andrew,-4,60989,2000-01-20,NYC
Eric,3,56506,2017-01-10,Chicago
,95,67968,2009-07-18,
Laura,,90289,2022-04-08,Houston
Jonathan,-9,51511,2021-12-30,Chicago
Heather,89,98389,2005-10-17,Chicago
Kelsey,0,63316,2020-02-29,Chicago
Stephen,17,59858,2008-09-04,New York City
Renee,,54781,2013-12-08,NYC
Wendy,,52611,2000-03-30,LA
Jamie,-2,70668,2025-01-23,Chicago
Jacob,120,59224,2020-01-06,NYC
Alexander,56,59046,2018-06-13,NYC
Anna,86,59356,2021-03-21,
Carl,0,97838,2011-09-24,Chicago
William,110,82687,2022-10-22,Los Angeles
Edward,-3,59332,2000-05-13,Chicago
Jack,118,59729,2015-03-17,NYC
Jimmy,117,92905,2024-12-14,Houston
Jessica,74,50757,2013-10-05,LA
Rhonda,52,52553,2010-08-15,LA
Steven,112,59213,2008-05-13,NYC
Melissa,79,78516,2017-01-01,NYC
Jimmy,32,61216,2012-12-09,LA
Nicole,,73142,2019-06-26,NYC
Amanda,67,97644,2024-11-06,Los Angeles
Sarah,85,57366,2015-12-17,
Darrell,88,78477,2006-09-07,LA
Cheryl,88,96399,2002-03-31,
Courtney,90,64176,2005-10-09,LA
Leah,96,72171,2008-11-05,Houston
Colton,15,81277,2008-07-10,
Amber,94,71909,2019-08-12,New York City
Mackenzie,115,59953,2002-09-30,Houston
Andrew,0,94196,2015-02-16,Houston
Scott,116,82660,2007-07-08,Houston
Jonathan,42,86225,2002-10-30,New York City
Catherine,18,50080,2025-02-01,Chicago
Shirley,11,51336,2005-12-28,LA
Susan,97,80932,2019-11-22,Los Angeles
Derek,55,58402,2005-08-06,Houston
Mark,54,59782,2018-08-13,New York City
,48,89593,2002-02-05,LA
Jessica,52,75625,2013-11-12,Chicago
Ashley,14,76391,2012-09-10,Houston
John,,83434,2001-09-30,Chicago
Whitney,41,93800,2011-04-15,Chicago
Jonathan,-2,61615,2018-12-10,
Amanda,2,98838,2005-08-15,Houston
Kaitlyn,29,57537,2007-11-01,NYC
Emily,85,98603,2004-02-27,NYC
John,44,52871,2011-08-17,Houston
Tanya,55,72036,2022-10-26,LA
Amber,114,95591,2018-02-01,Chicago
,,78875,2016-08-08,Houston
David,,76800,2013-10-31,New York City
Henry,35,58372,2014-01-22,Houston
Karen,43,67079,2021-03-16,Los Angeles
Carlos,42,78266,2018-11-02,LA
Patricia,105,53747,2014-03-14,NYC
Don,30,83024,2005-12-04,Houston
Brett,45,60403,2000-08-05,Los Angeles
Tyler,77,68016,2009-09-20,Houston
Beth,93,59244,2011-03-15,NYC
Russell,-8,89526,2014-10-08,NYC
Christine,,53788,2015-12-20,Chicago
Jose,28,51835,2002-08-27,Houston
Joseph,23,88011,2022-09-10,Chicago
Carlos,27,69572,2022-09-21,Chicago
Daryl,100,64708,2022-11-23,New York City
Noah,53,97110,2001-09-08,Houston
Jessica,1,79133,2018-11-01,NYC
Sarah,,53869,2008-05-23,
Emma,112,68526,2004-11-01,New York City
Andrew,86,52815,2022-06-27,LA
William,11,98308,2007-07-13,
Jack,-3,60985,2008-05-15,Los Angeles
Kevin,40,87012,2017-12-10,Los Angeles
,-1,65550,2004-06-09,Chicago
Justin,3,85339,2013-07-04,Houston
Dean,,62829,2006-09-08,NYC
Nicole,0,72511,2021-08-01,Houston
Ronald,14,50142,2019-08-12,New York City
Ricky,40,53544,2025-01-13,NYC
Kenneth,56,57647,2021-04-23,LA
Rebecca,21,95656,2019-02-18,Houston
Michael,25,68163,2013-07-22,Houston
Amanda,105,79598,2003-06-12,LA
Rebecca,57,69355,2014-02-06,New York City
Laura,112,94537,2004-10-02,New York City
Garrett,94,55518,2001-07-24,
Jacob,39,57250,2022-05-25,Chicago
Michael,50,56540,2003-05-21,Chicago
Jeffrey,14,73355,2006-06-13,
Amanda,30,53329,2002-12-01,LA
Carol,113,52465,2002-11-27,Los Angeles
Shannon,,62575,2022-08-10,Los Angeles
,49,53515,2006-10-29,Los Angeles
Jennifer,84,93913,2003-04-12,LA
Jamie,29,85665,2010-10-12,Houston
Beth,57,77105,2020-12-02,
Lori,13,60383,2002-08-22,LA
Brandy,72,70943,2006-06-28,New York City
Austin,9,95359,2022-08-24,Los Angeles
Debra,90,93126,2006-01-26,Houston
Jennifer,118,73373,2009-09-26,Chicago
,85,57256,2014-12-15,Chicago
Samuel,57,92902,2013-02-19,Houston
Shane,82,80918,2022-01-23,LA
David,,96123,2006-07-09,Houston
Jenny,20,64444,2010-05-12,Los Angeles
Jacob,86,55636,2005-03-12,NYC
Linda,81,93746,2011-11-02,Chicago
Mark,27,80845,2007-07-28,Chicago
Justin,31,57824,2013-07-02,Chicago
Alyssa,109,81701,2018-05-05,Chicago
Sherry,106,60728,2016-06-22,LA
Daniel,24,55661,2022-11-30,New York City
Alexander,99,82969,2000-11-01,Los Angeles
Michael,1,52163,2019-10-17,Houston
Travis,,55084,2005-01-26,LA
John,76,97632,2021-09-12,New York City
Kelsey,36,88166,2019-02-19,Chicago
Tom,86,83469,2008-01-11,
Joel,12,86145,2022-06-25,LA
Jason,79,96041,2016-12-10,Houston
Sara,21,78431,2018-10-05,
David,60,66781,2022-07-25,Houston
Paula,16,67861,2003-10-14,NYC
Debra,97,99154,2019-01-15,Los Angeles
Elizabeth,19,76780,2003-06-09,NYC
Shaun,45,77952,2003-05-07,
,10,56082,2014-06-03,Chicago
Jeffrey,-4,55072,2016-10-22,Chicago
Karen,37,77748,2024-04-20,Houston
Lauren,100,98330,2009-06-19,LA
Steven,74,96195,2013-03-18,LA
Courtney,18,89363,2018-10-30,NYC
James,100,69946,2011-04-22,Chicago
Kevin,107,74298,2021-02-16,Los Angeles
Kristopher,30,53621,2017-09-11,Houston
Brady,79,62352,2001-06-24,Houston
Brett,95,94481,2021-03-11,Chicago
Stephanie,65,95504,2021-06-24,
Ronald,-8,55748,2001-05-18,Chicago
Nicholas,90,51969,2007-04-01,Chicago
Sarah,60,65685,2023-01-29,NYC
Gloria,71,77803,2024-04-08,New York City
Victoria,58,94967,2011-08-02,
Julie,-10,78415,2024-07-07,Houston
Todd,,70341,2009-08-29,LA
Tracy,91,90580,2011-05-21,NYC
Eric,118,83714,2003-08-09,
Paul,100,92847,2011-10-13,New York City
Thomas,13,82248,2021-12-02,LA
Bradley,75,62739,2000-06-29,Los Angeles
Jessica,21,76384,2006-09-22,NYC
Melinda,117,76701,2022-11-26,LA
Beverly,100,79460,2005-01-30,LA
Larry,21,77856,2001-03-21,Los Angeles
Toni,,98678,2010-04-27,NYC
Jesse,23,61969,2024-10-28,LA
Danny,12,92439,2017-06-01,Chicago
Michael,,56924,2000-08-20,NYC
Gregory,45,61731,2013-06-24,
Amanda,20,87959,2021-11-14,Chicago
Tracy,61,88463,2014-02-06,Los Angeles
Cassandra,15,83435,2014-11-22,New York City
Aaron,81,50738,2003-10-29,Chicago
April,101,61999,2005-11-06,Los Angeles
Richard,103,96144,2014-08-15,LA
Sandra,111,63823,2018-03-23,Houston
Melissa,,54968,2001-11-10,Chicago
Daniel,106,87892,2014-11-04,LA
Jennifer,79,56923,2005-09-25,New York City
Kaylee,99,59943,2004-01-10,Los Angeles
Steven,97,80359,2015-04-15,NYC
Christopher,58,50635,2000-06-29,Chicago
Thomas,0,53374,2016-03-27,Houston
Christopher,5,66202,2000-07-07,Chicago
Joseph,84,82469,2009-11-12,New York City
Joy,88,68195,2013-01-02,
Stacey,27,69704,2012-01-01,New York City
Erica,88,56452,2010-07-25,Los Angeles
Dominique,59,92726,2002-05-07,Los Angeles
Colleen,75,84685,2007-08-27,NYC
Brandon,120,60563,2006-05-20,Chicago
Joseph,24,84909,2000-03-23,Chicago
Madison,74,78619,2022-10-10,Chicago
Stephen,,63689,2013-02-28,LA
Eric,76,66418,2000-11-21,Houston
Nicholas,,92896,2019-06-09,Houston
Allison,5,91576,2008-10-06,Houston
Theresa,-10,65934,2020-08-22,Chicago
Christian,70,60490,2003-12-14,
Michael,,93973,2011-01-25,Houston
Carla,98,90215,2023-04-15,New York City
Bonnie,73,77591,2016-03-11,New York City
Anthony,85,52877,2007-08-19,Houston
Nicole,107,66942,2011-11-28,LA
Stephen,17,65574,2004-04-01,Houston
Nathan,25,93345,2004-07-22,New York City
Carmen,-9,53433,2017-02-04,New York City
Paula,-9,54881,2023-10-22,LA
Karen,38,87876,2012-07-21,Los Angeles
Ian,58,69765,2021-01-25,New York City
Shannon,98,85039,2005-02-11,Los Angeles
Rachel,-10,70178,2020-09-08,New York City
Kimberly,46,56620,2016-01-17,Los Angeles
Cole,67,83371,2021-10-24,New York City
Sharon,49,98285,2008-08-29,Houston
Dwayne,101,51493,2004-12-11,LA
Charles,10,77429,2013-02-26,LA
Tara,104,62827,2017-09-21,New York City
Melinda,60,57012,2002-03-16,New York City
Derrick,-1,70746,2018-10-22,Chicago
Carl,87,74186,2015-08-27,New York City
Carl,-1,84146,2002-07-05,NYC
Jennifer,26,76917,2015-09-11,NYC
Gregory,17,60740,2003-06-24,Los Angeles
Kristina,105,64201,2019-04-14,
George,29,53913,2021-08-20,New York City
Sheila,105,56722,2003-01-28,New York City
Nicholas,6,56189,2007-08-09,Houston
Samantha,38,79296,2019-05-16,NYC
Charles,-1,91623,2011-03-09,
Lisa,63,96540,2003-04-13,Chicago
Patrick,,77855,2023-11-27,LA
Laura,93,60467,2021-02-09,NYC
Charles,117,81742,2006-03-21,NYC
Victor,62,70424,2016-08-31,Chicago
Stephanie,53,57087,2009-01-17,New York City
Victoria,23,76449,2019-03-01,Chicago
Dennis,-10,78135,2022-03-15,New York City
Christopher,,68183,2009-05-12,Chicago
Paul,110,67121,2003-07-04,
Ryan,78,53354,2009-04-20,New York City
Rebecca,100,73056,2018-09-25,Chicago
Denise,,85394,2020-04-02,NYC
,75,59205,2015-02-16,Los Angeles
James,,99457,2007-04-19,NYC
Brent,55,77118,2016-03-09,Houston
Daniel,35,78592,2001-06-23,Houston
Bailey,108,71975,2000-02-16,New York City
Daniel,96,81580,2018-01-15,Chicago
Devin,19,97253,2017-11-23,Houston
Pedro,48,76148,2015-11-14,
Christopher,49,61070,2007-07-22,Houston
Rachel,,86167,2006-09-05,NYC
Crystal,114,69392,2016-12-04,New York City
Kevin,-6,76037,2015-03-23,New York City
Kiara,6,60698,2002-08-15,LA
Daniel,20,56004,2007-06-16,NYC
Patricia,70,99514,2011-12-12,Los Angeles
Amy,111,51548,2016-04-28,LA
Chloe,11,93423,2018-01-23,NYC
Cheyenne,39,94634,2008-02-21,New York City
Paul,39,73037,2017-11-30,NYC
Jessica,48,90954,2012-01-25,Houston
James,90,78045,2017-11-27,LA
Tim,49,54570,2019-08-24,NYC
Michelle,-9,68613,2016-02-13,Chicago
Alan,112,78122,2016-03-25,Chicago
James,91,66600,2021-07-26,Los Angeles
Lauren,32,91856,2022-11-06,LA
James,87,89255,2020-02-01,Houston
Monica,112,67231,2005-08-23,Houston
Christina,59,73018,2020-04-14,Houston
Garrett,118,74264,2006-08-03,
Kayla,98,55110,2023-10-19,New York City
Jill,51,87487,2012-10-20,New York City
Kimberly,23,77335,2004-06-02,LA
,84,64674,2009-08-11,Los Angeles
Matthew,71,90159,2011-03-17,LA
Tara,25,94045,2007-11-02,LA
Daniel,119,64965,2003-02-06,New York City
Brian,30,95739,2008-08-16,NYC
Brandon,62,69391,2022-06-30,LA
Maria,-5,59511,2014-03-16,LA
